Theta_deg,Theta_rad,Gamma_mean,Gamma_std
80.0,1.3962634015954636,0.966067722222222,0.058567131119677596
81.0,1.413716694115407,0.9654705555555556,0.058271500778894404
82.0,1.4311699866353502,0.9648502222222226,0.05805706689643634
83.0,1.4486232791552935,0.964218833333333,0.057919087203855156
84.0,1.4660765716752369,0.9635899444444448,0.057850359851922384
85.0,1.4835298641951802,0.9629769444444444,0.05783853970894823
86.0,1.5009831567151235,0.9623935000000001,0.05786901958038036
87.0,1.5184364492350666,0.961850777777778,0.05792960070882545
88.0,1.53588974175501,0.9613601666666661,0.05800230451815399
89.0,1.5533430342749532,0.9609291666666664,0.05807433255822518
90.0,1.5707963267948966,0.9605640555555555,0.0581317778050413
91.0,1.5882496193148399,0.9602682777777783,0.05816514976847827
92.0,1.6057029118347832,0.9600419444444446,0.058165535682387866
93.0,1.6231562043547265,0.9598836111111115,0.05813075582745322
94.0,1.6406094968746698,0.9597890000000006,0.058059912045901156
95.0,1.6580627893946132,0.9597520555555558,0.0579570383195578
96.0,1.6755160819145565,0.9597632777777781,0.057828386924210266
97.0,1.6929693744344996,0.9598155000000004,0.05768606822251126
98.0,1.710422666954443,0.9598979444444447,0.057541496752799785
99.0,1.7278759594743862,0.9600011111111105,0.05740815492679385
100.0,1.7453292519943295,0.9601173333333337,0.057300990359872676
101.0,1.7627825445142729,0.9602376666666672,0.057233417832397326
102.0,1.7802358370342162,0.9603577777777774,0.057217207867675965
103.0,1.7976891295541595,0.9604735000000011,0.05726167574754221
104.0,1.8151424220741028,0.9605847222222224,0.05737129158609009
105.0,1.8325957145940461,0.9606934444444438,0.05754844490921659
106.0,1.8500490071139892,0.9608052777777777,0.0577886432752103
107.0,1.8675022996339325,0.9609286111111108,0.05808629547457711
108.0,1.8849555921538759,0.9610747777777779,0.05842839856948898
109.0,1.9024088846738192,0.9612575000000003,0.058802736197438615
110.0,1.9198621771937625,0.9614916111111101,0.05919201298564873
111.0,1.9373154697137058,0.9617963333333328,0.059580606230364735
112.0,1.9547687622336491,0.9621883333333338,0.05994970110665922
113.0,1.9722220547535925,0.9626873333333332,0.06028396323143403
114.0,1.9896753472735358,0.9633109444444444,0.0605697681713431
115.0,2.007128639793479,0.9640769999999997,0.0607940202459639
116.0,2.0245819323134224,0.9650005555555555,0.060949359432621704
117.0,2.0420352248333655,0.9660943888888889,0.06102860822018809
118.0,2.059488517353309,0.9673681111111107,0.06103064592471271
119.0,2.076941809873252,0.9688281111111104,0.06095697879824651
120.0,2.0943951023931953,0.9704778333333325,0.060811791887164277
121.0,2.111848394913139,0.9723157777777778,0.060602730328624226
122.0,2.129301687433082,0.9743377222222217,0.06034067999313522
123.0,2.1467549799530254,0.9765331111111113,0.060037203773890525
124.0,2.1642082724729685,0.9788901111111116,0.05970645007021984
125.0,2.181661564992912,0.9813940555555558,0.0593616086811934
126.0,2.199114857512855,0.9840251666666663,0.05901728485485323
127.0,2.2165681500327987,0.9867633333333339,0.058686133294937
128.0,2.234021442552742,0.9895852777777779,0.058380091283383354
129.0,2.251474735072685,0.9924692222222217,0.0581082432998543
130.0,2.2689280275926285,0.9953897777777777,0.05787898417249137
131.0,2.2863813201125716,0.9983251111111113,0.057695421226846164
132.0,2.303834612632515,1.0012519444444443,0.05755996072789586
133.0,2.321287905152458,1.0041496111111108,0.05747139595160834
134.0,2.3387411976724017,1.0069990000000004,0.057426454976972255
135.0,2.356194490192345,1.0097827222222224,0.05742084789643098
136.0,2.3736477827122884,1.0124868333333337,0.05744679775888298
137.0,2.3911010752322315,1.0150985000000001,0.05749777169088092
138.0,2.4085543677521746,1.0176081666666665,0.05756457477838839
139.0,2.426007660272118,1.0200091666666666,0.057639897456102394
140.0,2.443460952792061,1.0222934444444447,0.05771537169903722
141.0,2.4609142453120048,1.0244592222222222,0.05778546795841357
142.0,2.478367537831948,1.0265022777777777,0.05784307399076071
143.0,2.4958208303518914,1.0284204444444442,0.057883580207000386
144.0,2.5132741228718345,1.0302122777777782,0.0579040646801103
145.0,2.530727415391778,1.0318756111111111,0.05790218202723825
146.0,2.548180707911721,1.0334070555555561,0.05787759446257848
147.0,2.5656340004316642,1.0348034444444443,0.05782923639016111
148.0,2.5830872929516078,1.036059777777777,0.05775819623371939
149.0,2.600540585471551,1.037169555555556,0.05766617593068866
150.0,2.6179938779914944,1.0381264999999997,0.057555618670359
151.0,2.6354471705114375,1.0389215555555558,0.05742943463089892
152.0,2.652900463031381,1.0395443888888893,0.05729137506508955
153.0,2.670353755551324,1.0399861666666659,0.05714385348763826
154.0,2.6878070480712677,1.040236944444445,0.05699148797161851
155.0,2.705260340591211,1.0402858888888888,0.05683937387047517
156.0,2.722713633111154,1.0401243888888894,0.05669205011055478
157.0,2.7401669256310974,1.039746722222222,0.05655440778411288
158.0,2.7576202181510405,1.0391482777777776,0.056432383402425894
159.0,2.775073510670984,1.038326055555556,0.05633224870254871
160.0,2.792526803190927,1.0372835555555553,0.05626092024983261
161.0,2.8099800957108707,1.0360274444444448,0.05622347774849759
162.0,2.827433388230814,1.0345673333333332,0.05622736771952486
163.0,2.8448866807507573,1.0329203333333332,0.056276818810629695
164.0,2.8623399732707004,1.0311061111111104,0.05637714009132197
165.0,2.8797932657906435,1.0291502222222222,0.05653054600003196
166.0,2.897246558310587,1.0270817777777779,0.05673712970215806
167.0,2.91469985083053,1.0249351666666664,0.056994947870403406
168.0,2.9321531433504737,1.0227476666666664,0.0573000294851582
169.0,2.949606435870417,1.020559,0.05764417221290555
170.0,2.9670597283903604,1.0184113333333331,0.0580176633870142
171.0,2.9845130209103035,1.0163467222222229,0.05840808010912487
172.0,3.001966313430247,1.0144071111111115,0.058800381380933305
